marker	target	nA	nB	wilcox.p	CLES	zA	zB	ZDiff	tissue	boxplot_data
CDKN2A_1029_ENSG00000147889	ABTB2_25841	6	6	0.0465367965367965	0.805555555555556	-0.1825	-0.037	-0.1455	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	12,-1,1,-0.19,-0.07,-0.04,0.08,0.15,-0.51,-0.32,-0.185,-0.14,0.12;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MV411,-0.03,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML2,-0.19,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML3,-0.07,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,P31FUJ,0.08,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PL21,-0.05,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SKM1,0.15,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EOL1CELL,-0.2,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HEL,0.12,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLM13,-0.51,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NB4,-0.17,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML5,-0.32,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,THP1,-0.14,2
CDKN2A_1029_ENSG00000147889	ACAD8_27034	6	6	0.0465367965367965	0.805555555555556	-0.8575	-0.3545	-0.503	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	12,-2,0,-0.78,-0.56,-0.355,-0.24,-0.08,-1.18,-1.14,-0.86,-0.3,-0.3;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MV411,-0.78,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML2,-0.26,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML3,-0.08,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,P31FUJ,-0.45,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PL21,-0.56,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SKM1,-0.24,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EOL1CELL,-0.3,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HEL,-1.18,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLM13,-0.3,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NB4,-1.14,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML5,-0.75,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,THP1,-0.97,2
CDKN2A_1029_ENSG00000147889	ACAN_176	6	6	0.012987012987013	0.888888888888889	-0.6035	-0.4125	-0.191	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	12,-2,0,-0.48,-0.48,-0.41,-0.36,-0.24,-1.04,-0.94,-0.6,-0.55,-0.52;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MV411,-0.88,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML2,-0.48,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML3,-0.36,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,P31FUJ,-0.36,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PL21,-0.24,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SKM1,-0.46,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EOL1CELL,-0.52,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HEL,-0.58,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLM13,-0.62,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NB4,-0.55,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML5,-1.04,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,THP1,-0.94,2
CDKN2A_1029_ENSG00000147889	ACBD5_91452	6	6	0.0324675324675325	0.833333333333333	0.044	0.276	-0.232	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	12,-1,1,0.23,0.23,0.275,0.35,0.48,-0.16,-0.06,0.045,0.21,0.22;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MV411,0.48,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML2,0.32,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML3,0.23,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,P31FUJ,0.35,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PL21,0.23,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SKM1,-0.2,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EOL1CELL,-0.16,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HEL,0.22,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLM13,0.07,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NB4,0.21,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML5,0.02,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,THP1,-0.06,2
CDKN2A_1029_ENSG00000147889	ACKR2_1238	6	6	0.00757575757575758	0.916666666666667	-0.1555	-0.007	-0.1485	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	12,-1,1,-0.04,-0.04,-0.005,0.07,0.12,-0.26,-0.26,-0.155,-0.05,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MV411,0.07,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML2,0.12,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML3,-0.04,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,P31FUJ,-0.04,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PL21,-0.03,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SKM1,0.02,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EOL1CELL,-0.16,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HEL,-0.05,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLM13,-0.77,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NB4,-0.26,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML5,0,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,THP1,-0.15,2
CDKN2A_1029_ENSG00000147889	ACMSD_130013	6	6	0.00249906238254123	1	-0.354	-0.0845	-0.2695	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	12,-1,0,-0.21,-0.13,-0.085,-0.05,-0.05,-0.4,-0.4,-0.355,-0.28,-0.23;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MV411,-0.06,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML2,-0.21,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML3,-0.05,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,P31FUJ,-0.11,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PL21,-0.13,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SKM1,-0.05,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EOL1CELL,-0.38,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HEL,-0.23,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLM13,-0.28,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NB4,-0.66,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML5,-0.33,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,THP1,-0.4,2
CDKN2A_1029_ENSG00000147889	ACO2_50	6	6	0.012987012987013	0.888888888888889	-3.2115	-1.924	-1.2875	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	12,-4,0,-3.06,-2.71,-1.925,-1.1,-0.59,-3.54,-3.33,-3.21,-2.6,-2.32;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MV411,-2.71,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML2,-3.06,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML3,-2.31,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,P31FUJ,-0.59,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PL21,-1.1,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SKM1,-1.54,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EOL1CELL,-2.6,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HEL,-3.33,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLM13,-3.29,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NB4,-2.32,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML5,-3.13,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,THP1,-3.54,2
CDKN2A_1029_ENSG00000147889	ACP5_54	6	6	0.0465367965367965	0.805555555555556	-0.88	-0.592	-0.288	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	12,-2,0,-0.74,-0.71,-0.595,-0.46,-0.34,-1.47,-1.33,-0.88,-0.67,-0.36;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MV411,-0.55,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML2,-0.34,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML3,-0.46,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,P31FUJ,-0.64,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PL21,-0.74,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SKM1,-0.71,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EOL1CELL,-0.79,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HEL,-0.97,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLM13,-1.33,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NB4,-0.67,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML5,-1.47,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,THP1,-0.36,2
CDKN2A_1029_ENSG00000147889	ACSM3_6296	6	6	0.0465367965367965	0.805555555555556	-0.228	-0.0485	-0.1795	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	12,-1,1,-0.28,-0.26,-0.05,0.08,0.36,-0.58,-0.36,-0.225,-0.17,-0.14;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MV411,-0.07,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML2,0.36,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML3,-0.28,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,P31FUJ,0.08,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PL21,-0.26,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SKM1,-0.03,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EOL1CELL,-0.36,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HEL,-0.19,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLM13,-0.58,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NB4,-0.26,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML5,-0.14,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,THP1,-0.17,2
CDKN2A_1029_ENSG00000147889	ACSM5_54988	6	6	0.0205627705627706	0.861111111111111	-0.391	-0.1145	-0.2765	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	12,-1,1,-0.33,-0.21,-0.115,0.12,0.25,-0.57,-0.5,-0.395,-0.25,-0.14;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MV411,-0.04,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML2,0.12,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML3,0.25,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,P31FUJ,-0.33,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PL21,-0.21,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SKM1,-0.19,0;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EOL1CELL,-0.25,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HEL,-0.5,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLM13,-0.47,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NB4,-0.14,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML5,-0.57,2;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,THP1,-0.32,2
